characterName,actorName,episode,season,characterType,firstName
William Tewksbury,Rene Auberjonois,20,8,other,William
Martin Crane,John Mahoney,20,8,main,Martin
Roz Doyle,Peri Gilpin,20,8,main,Roz
Student,Benjamin Stephens,20,8,other,Student
Cashier,Irene White,21,8,other,Cashier
Claire French,Patricia Clarkson,21,8,recurring,Claire
Daphne Moon,Jane Leeves,21,8,main,Daphne
Frasier Crane,Kelsey Grammer,21,8,main,Frasier
Niles Crane,David Hyde Pierce,21,8,main,Niles
Kirby,Brian Klugman,21,8,recurring,Kirby
Lana Gardner,Jean Smart,21,8,recurring,Lana
Martin Crane,John Mahoney,21,8,main,Martin
Neil,J. Paul Boehmer,21,8,other,Neil
Party Guest,Michael Rothhaar,21,8,recurring,Party
Party Guest,Lynndi Scott,21,8,recurring,Party
Roz Doyle,Peri Gilpin,21,8,main,Roz
Claire French,Patricia Clarkson,22,8,recurring,Claire
Daphne Moon,Jane Leeves,22,8,main,Daphne
Frasier Crane,Kelsey Grammer,22,8,main,Frasier
Niles Crane,David Hyde Pierce,22,8,main,Niles
Guy In Line,Keith Rayve,22,8,other,Guy
Kirby,Brian Klugman,22,8,recurring,Kirby
Kirby's Friend,Jonathan Ficcadenti,22,8,other,Kirby's
Lana Gardner,Jean Smart,22,8,recurring,Lana
Maitre'D,Christian Aubert,22,8,other,Maitre'D
Martin Crane,John Mahoney,22,8,main,Martin
Roz Doyle,Peri Gilpin,22,8,main,Roz
Board Member,Cyndi Martino,23,8,other,Board
Board Member,Steve Stapenhorst,23,8,other,Board
Board Member,Mark Withers,23,8,other,Board
Daphne Moon,Jane Leeves,23,8,main,Daphne
David Hicks,Mark Durbin,23,8,other,David
Frasier Crane,Kelsey Grammer,23,8,main,Frasier
Niles Crane,David Hyde Pierce,23,8,main,Niles
Jim,Tom Verica,23,8,other,Jim
Joanne,Mary-Joan Negro,23,8,other,Joanne
Lana Gardner,Jean Smart,23,8,recurring,Lana
Martin Crane,John Mahoney,23,8,main,Martin
Mr. Smolenski,Biff McGuire,23,8,other,Mr.
Mrs. Smolenski,Gloria LeRoy,23,8,other,Mrs.
Phillip,Patrick Breen,23,8,other,Phillip
Roz Doyle,Peri Gilpin,23,8,main,Roz
Claire French,Patricia Clarkson,24,8,recurring,Claire
Daphne Moon,Jane Leeves,24,8,main,Daphne
Frasier Crane,Kelsey Grammer,24,8,main,Frasier
Lilith Sternin,Bebe Neuwirth,24,8,recurring,Lilith
Niles Crane,David Hyde Pierce,24,8,main,Niles
Hostess,Terri Hoyos,24,8,other,Hostess
Hotel Manager,Regi Davis,24,8,other,Hotel
Lana Gardner,Jean Smart,24,8,recurring,Lana
Martin Crane,John Mahoney,24,8,main,Martin
Roz Doyle,Peri Gilpin,24,8,main,Roz
Waiter,Bernard Addison,24,8,other,Waiter
Bob,Brian Kerwin,1,9,other,Bob
Claire French,Patricia Clarkson,1,9,recurring,Claire
Daphne Moon,Jane Leeves,1,9,main,Daphne
Diane Chambers,Shelley Long,1,9,other,Diane
Frasier Crane,Kelsey Grammer,1,9,main,Frasier
Lilith Sternin,Bebe Neuwirth,1,9,recurring,Lilith
Niles Crane,David Hyde Pierce,1,9,main,Niles
Kirby,Brian Klugman,1,9,recurring,Kirby
Kristi,Morgan Nagler,1,9,other,Kristi
Lana Gardner,Jean Smart,1,9,recurring,Lana
Luggage Clerk,Christopher Reed,1,9,other,Luggage
Maintenance Guy,Ted Lyde,1,9,other,Maintenance
Martin Crane,John Mahoney,1,9,main,Martin
Photographer,Rick Negron,1,9,other,Photographer
Roz Doyle,Peri Gilpin,1,9,main,Roz
Bob,Brian Kerwin,2,9,other,Bob
Daphne Moon,Jane Leeves,2,9,main,Daphne
Diane Chambers,Shelley Long,2,9,other,Diane
Frasier Crane,Kelsey Grammer,2,9,main,Frasier
Lilith Sternin,Bebe Neuwirth,2,9,recurring,Lilith
Niles Crane,David Hyde Pierce,2,9,main,Niles
Hester Crane,Rita Wilson,2,9,other,Hester
Kirby,Brian Klugman,2,9,recurring,Kirby
Lana Gardner,Jean Smart,2,9,recurring,Lana
Laura Paris,Lisa Darr,2,9,other,Laura
Martin Crane,John Mahoney,2,9,main,Martin
Miranda Rogers,Tushka Bergen,2,9,other,Miranda
Nanette,Dina Spybey-Waters,2,9,other,Nanette
Roz Doyle,Peri Gilpin,2,9,main,Roz
Samantha Pierce,Lindsay Frost,2,9,other,Samantha
Assistant,Vic Chao,3,9,other,Assistant
Daphne Moon,Jane Leeves,3,9,main,Daphne
Frasier Crane,Kelsey Grammer,3,9,main,Frasier
Niles Crane,David Hyde Pierce,3,9,main,Niles
Heather Murphy,Michelle Stafford,3,9,other,Heather
Martin Crane,John Mahoney,3,9,main,Martin
Mary Hart,Mary Hart,3,9,other,Mary
Roz Doyle,Peri Gilpin,3,9,main,Roz
Daphne Moon,Jane Leeves,4,9,main,Daphne
Frasier Crane,Kelsey Grammer,4,9,main,Frasier
Niles Crane,David Hyde Pierce,4,9,main,Niles
Frank,Tom Irwin,4,9,recurring,Frank
"Joe, Delivery Man",Byrne Offutt,4,9,other,"Joe,"
Kenny Daly,Tom McGowan,4,9,recurring,Kenny
Martin Crane,John Mahoney,4,9,main,Martin
Nurse,Lisa Arning,4,9,recurring,Nurse
Roz Doyle,Peri Gilpin,4,9,main,Roz
Tom,Anthony Edwards,4,9,recurring,Tom
Waitress,Mary Jo Mecca,4,9,recurring,Waitress
Alice May Doyle,Ashley Thomas,5,9,recurring,Alice
Cheryl,Jill Talley,5,9,other,Cheryl
Daphne Moon,Jane Leeves,5,9,main,Daphne
Dennis,Bernard Zilinskas,5,9,other,Dennis
Frasier Crane,Kelsey Grammer,5,9,main,Frasier
Niles Crane,David Hyde Pierce,5,9,main,Niles
Jason,Stephon Fuller,5,9,other,Jason
Kenny Daly,Tom McGowan,5,9,recurring,Kenny
Martin Crane,John Mahoney,5,9,main,Martin
Noel Shempsky,Patrick Kerr,5,9,recurring,Noel
Roger,Tony Goldwyn,5,9,other,Roger
Roz Doyle,Peri Gilpin,5,9,main,Roz
Alice May Doyle,Hope Cruickshank,6,9,recurring,Alice
Alice May Doyle,Tess Cruickshank,6,9,recurring,Alice
Daphne Moon,Jane Leeves,6,9,main,Daphne
Frasier Crane,Kelsey Grammer,6,9,main,Frasier
Niles Crane,David Hyde Pierce,6,9,main,Niles
Justin,Soren Fulton,6,9,other,Justin
Kid,Steven Anthony Lawrence,6,9,other,Kid
Martin Crane,John Mahoney,6,9,main,Martin
Roz Doyle,Peri Gilpin,6,9,main,Roz
Daphne Moon,Jane Leeves,7,9,main,Daphne
Delivery Man,Lamont Thompson,7,9,other,Delivery
Frasier Crane,Kelsey Grammer,7,9,main,Frasier
Niles Crane,David Hyde Pierce,7,9,main,Niles
James the Waiter,James Aaron Oliver,7,9,recurring,James
Martin Crane,John Mahoney,7,9,main,Martin
Roz Doyle,Peri Gilpin,7,9,main,Roz
Bill Gates,Bill Gates,8,9,other,Bill
Bulldog Briscoe,Dan Butler,8,9,recurring,Bulldog
Daphne Moon,Jane Leeves,8,9,main,Daphne
Frasier Crane,Kelsey Grammer,8,9,main,Frasier
Niles Crane,David Hyde Pierce,8,9,main,Niles
Estelle,Jennifer Jason Leigh,8,9,other,Estelle
Joe,Larry Gelbart,8,9,other,Joe
Kenny Daly,Tom McGowan,8,9,recurring,Kenny
Martin Crane,John Mahoney,8,9,main,Martin
Noel Shempsky,Patrick Kerr,8,9,recurring,Noel
Phyllis,Allison Janney,8,9,other,Phyllis
Roz Doyle,Peri Gilpin,8,9,main,Roz
Tom,Adam Arkin,8,9,other,Tom
Warren,Bobby Short,8,9,other,Warren
Daphne Moon,Jane Leeves,9,9,main,Daphne
Frasier Crane,Kelsey Grammer,9,9,main,Frasier
Niles Crane,David Hyde Pierce,9,9,main,Niles
Kenny Daly,Tom McGowan,9,9,recurring,Kenny
Kirby,Brian Klugman,9,9,recurring,Kirby
Lucius,Devon Michaels,9,9,other,Lucius
Martin Crane,John Mahoney,9,9,main,Martin
Roz Doyle,Peri Gilpin,9,9,main,Roz
Bebe Glazer,Harriet Sansom Harris,10,9,recurring,Bebe
Daphne Moon,Jane Leeves,10,9,main,Daphne
Frasier Crane,Kelsey Grammer,10,9,main,Frasier
Niles Crane,David Hyde Pierce,10,9,main,Niles
Zach,Chris Berg,10,9,other,Zach
Garth,Pat Boone,10,9,other,Garth
Janet,Cherry Jones,10,9,other,Janet
Kenny Daly,Tom McGowan,10,9,recurring,Kenny
Martin Crane,John Mahoney,10,9,main,Martin
Policeman,Marcus Folmar,10,9,other,Policeman
Portia Sanders,Kristin Chenoweth,10,9,other,Portia
Roz Doyle,Peri Gilpin,10,9,main,Roz
Babs,Beth Hall,11,9,other,Babs
Charlie Koechner,Robert Picardo,11,9,other,Charlie
Corporate Guy,Jay Karnes,11,9,other,Corporate
Daphne Moon,Jane Leeves,11,9,main,Daphne
Frasier Crane,Kelsey Grammer,11,9,main,Frasier
Niles Crane,David Hyde Pierce,11,9,main,Niles
Martin Crane,John Mahoney,11,9,main,Martin
Paul,Derek Anthony,11,9,other,Paul
Rich Koechner,M. Emmet Walsh,11,9,other,Rich
Roz Doyle,Peri Gilpin,11,9,main,Roz
Terrance,Andy Garcia,11,9,other,Terrance
Cam Winston,Brian Stokes Mitchell,12,9,other,Cam
Daphne Moon,Jane Leeves,12,9,main,Daphne
Frasier Crane,Kelsey Grammer,12,9,main,Frasier
Niles Crane,David Hyde Pierce,12,9,main,Niles
Gertrude Moon,Millicent Martin,12,9,recurring,Gertrude
Martin Crane,John Mahoney,12,9,main,Martin
Roz Doyle,Peri Gilpin,12,9,main,Roz
Simon Moon,Anthony LaPaglia,12,9,recurring,Simon
Albert,Conrad Janis,13,9,recurring,Albert
Cam Winston,Brian Stokes Mitchell,13,9,other,Cam
Daphne Moon,Jane Leeves,13,9,main,Daphne
Frasier Crane,Kelsey Grammer,13,9,main,Frasier
Niles Crane,David Hyde Pierce,13,9,main,Niles
Gertrude Moon,Millicent Martin,13,9,recurring,Gertrude
Loretta,Camille Carida,13,9,other,Loretta
Martin Crane,John Mahoney,13,9,main,Martin
Mr. Williams,Mark Capri,13,9,other,Mr.
Mrs. Richman,Brooks Almy,13,9,recurring,Mrs.
Roz Doyle,Peri Gilpin,13,9,main,Roz
Simon Moon,Anthony LaPaglia,13,9,recurring,Simon
Andy McNiff,Brian T. Finney,14,9,other,Andy
Daphne Moon,Jane Leeves,14,9,main,Daphne
Frasier Crane,Kelsey Grammer,14,9,main,Frasier
Niles Crane,David Hyde Pierce,14,9,main,Niles
Emily,Casey Strand,14,9,other,Emily
Kenny Daly,Tom McGowan,14,9,recurring,Kenny
Kirby,Brian Klugman,14,9,recurring,Kirby
Lucy,Regina Schneider,14,9,other,Lucy
Martin Crane,John Mahoney,14,9,main,Martin
Mike,Freddie Prinze Jr.,14,9,other,Mike
Peg,Lindsay Crouse,14,9,other,Peg
Roz Doyle,Peri Gilpin,14,9,main,Roz
Ryan,Patrick Cavanaugh,14,9,other,Ryan
Trent,Taylor Handley,14,9,other,Trent
Angel,Tony Cox,15,9,other,Angel
Angel,Mark Povinelli,15,9,other,Angel
Daphne Moon,Jane Leeves,15,9,main,Daphne
Frasier Crane,Kelsey Grammer,15,9,main,Frasier
Niles Crane,David Hyde Pierce,15,9,main,Niles
Gertrude Moon,Millicent Martin,15,9,recurring,Gertrude
Jewelry Clerk,Dan Bucatinsky,15,9,other,Jewelry
Martin Crane,John Mahoney,15,9,main,Martin
Peg,Lindsay Crouse,15,9,other,Peg
Roz Doyle,Peri Gilpin,15,9,main,Roz
Suzy,Juanita Jennings,15,9,other,Suzy
Wolfgang Puck,Wolfgang Puck,15,9,other,Wolfgang
Audience Member,Kari McGee,16,9,other,Audience
Audience Member,Richard Redlin,16,9,other,Audience
Audience Member,Janet Song,16,9,other,Audience
Blaine Sternin,Michael Keaton,16,9,other,Blaine
Daphne Moon,Jane Leeves,16,9,main,Daphne
Frasier Crane,Kelsey Grammer,16,9,main,Frasier
Niles Crane,David Hyde Pierce,16,9,main,Niles
Martin Crane,John Mahoney,16,9,main,Martin
Roz Doyle,Peri Gilpin,16,9,main,Roz
Bartender,Matt Huhn,17,9,recurring,Bartender
Clark,Michael Panes,17,9,other,Clark
Clint,Nick Kiriazis,17,9,other,Clint
Daphne Moon,Jane Leeves,17,9,main,Daphne
Frasier Crane,Kelsey Grammer,17,9,main,Frasier
Niles Crane,David Hyde Pierce,17,9,main,Niles
Cleaner Guy,Kiran Rao,17,9,other,Cleaner
Graham,Craig Nigh,17,9,other,Graham
Harry,Michael Medico,17,9,other,Harry
Jason,Mike Powers,17,9,other,Jason
Kris,Bridgette Wilson-Sampras,17,9,other,Kris
Lisa,Bellamy Young,17,9,other,Lisa
Martin Crane,John Mahoney,17,9,main,Martin
Roz Doyle,Peri Gilpin,17,9,main,Roz
Susanna,Allison Janney,17,9,other,Susanna
Amanda,Morgan Davis,18,9,recurring,Amanda
Contestant,Michael Vira,18,9,other,Contestant
Daphne Moon,Jane Leeves,18,9,main,Daphne
Bernard Gadston,Philip Casnoff,18,9,other,Bernard
Frasier Crane,Kelsey Grammer,18,9,main,Frasier
Niles Crane,David Hyde Pierce,18,9,main,Niles
Frederick Crane,Trevor Einhorn,18,9,recurring,Frederick
John Clayton,Jeff Perry,18,9,other,John
Lillian,Naomi Judd,18,9,other,Lillian
Martin Crane,John Mahoney,18,9,main,Martin
Roz Doyle,Peri Gilpin,18,9,main,Roz
Security Guard,James Lew,18,9,other,Security
Warren Clayton,Josh Wise,18,9,other,Warren
Alice May Doyle,Ashley Thomas,19,9,recurring,Alice
Daphne Moon,Jane Leeves,19,9,main,Daphne
Frasier Crane,Kelsey Grammer,19,9,main,Frasier
Niles Crane,David Hyde Pierce,19,9,main,Niles
James the Barista,James Aaron Oliver,19,9,recurring,James
Lasskopf,Hal Landon Jr.,19,9,other,Lasskopf
Martin Crane,John Mahoney,19,9,main,Martin
Officer,Alex Morris,19,9,other,Officer
Roz Doyle,Peri Gilpin,19,9,main,Roz
Young Frasier,Cameron Bowen,19,9,recurring,Young
Young Niles,Chase Armstrong,19,9,recurring,Young
Cam Winston,Brian Stokes Mitchell,20,9,other,Cam
Cora Winston,Emily Yancy,20,9,other,Cora
Daphne Moon,Jane Leeves,20,9,main,Daphne
Frasier Crane,Kelsey Grammer,20,9,main,Frasier
Niles Crane,David Hyde Pierce,20,9,main,Niles
James the Waiter,James Aaron Oliver,20,9,recurring,James
Joe,Steve O'Connor,20,9,other,Joe
Martin Crane,John Mahoney,20,9,main,Martin
Roz Doyle,Peri Gilpin,20,9,main,Roz
Carla Tortelli LeBec,Rhea Perlman,21,9,other,Carla
Cliff Clavin,John Ratzenberger,21,9,other,Cliff
Daphne Moon,Jane Leeves,21,9,main,Daphne
Frasier Crane,Kelsey Grammer,21,9,main,Frasier
Niles Crane,David Hyde Pierce,21,9,main,Niles
Jeremy,Rufus Wainwright,21,9,other,Jeremy
Martin Crane,John Mahoney,21,9,main,Martin
Norm Peterson,George Wendt,21,9,other,Norm
Paul Krapence,Paul Willson,21,9,other,Paul
Phil,Philip Perlman,21,9,other,Phil
Roz Doyle,Peri Gilpin,21,9,main,Roz
Walt Twitchell,Raye Birk,21,9,other,Walt
Caller,Scott Hamilton,22,9,other,Caller
Caller,Daryl Hannah,22,9,other,Caller
Caller,Olympia Dukakis,22,9,other,Caller
Caller Carl,Keith Carradine,22,9,other,Caller
Cathy,Catherine Bruhier,22,9,other,Cathy
Daphne Moon,Jane Leeves,22,9,main,Daphne
Frasier Crane,Kelsey Grammer,22,9,main,Frasier
Niles Crane,David Hyde Pierce,22,9,main,Niles
Frank,Leo Marks,22,9,recurring,Frank
Herm Evans,Joe Flaherty,22,9,other,Herm
Kenny Daly,Tom McGowan,22,9,recurring,Kenny
Martin Crane,John Mahoney,22,9,main,Martin
Neil 'Sully' Sullivan,Bill Hayes,22,9,other,Neil
Roz Doyle,Peri Gilpin,22,9,main,Roz
Aunt Pearl,Marcia Ann Burrs,23,9,other,Aunt
Craig,Ted King,23,9,other,Craig
Curtis,Bobby Brewer,23,9,other,Curtis
Daphne Moon,Jane Leeves,23,9,main,Daphne
Denise,Suzanne Cryer,23,9,other,Denise
Frasier Crane,Kelsey Grammer,23,9,main,Frasier
Niles Crane,David Hyde Pierce,23,9,main,Niles
Gertrude Moon,Millicent Martin,23,9,recurring,Gertrude
Harry Moon,Brian Cox,23,9,other,Harry
Martin Crane,John Mahoney,23,9,main,Martin
Roz Doyle,Peri Gilpin,23,9,main,Roz
Barfly,Christopher Shea,24,9,other,Barfly
Barfly,Ian Patrick Williams,24,9,other,Barfly
Barfly,Jamieson Price,24,9,other,Barfly
Daphne Moon,Jane Leeves,24,9,main,Daphne
Frasier Crane,Kelsey Grammer,24,9,main,Frasier
Niles Crane,David Hyde Pierce,24,9,main,Niles
Gertrude Moon,Millicent Martin,24,9,recurring,Gertrude
Harry Moon,Brian Cox,24,9,other,Harry
Henri,Jarion Monroe,24,9,other,Henri
Man in Bar,Joseph Sikora,24,9,other,Man
Martin Crane,John Mahoney,24,9,main,Martin
Roz Doyle,Peri Gilpin,24,9,main,Roz
Alice May Doyle,Ashley Thomas,1,10,recurring,Alice
Bridget,Twink Caplan,1,10,other,Bridget
Daphne Moon,Jane Leeves,1,10,main,Daphne
Donny Douglas,Saul Rubinek,1,10,recurring,Donny
Frasier Crane,Kelsey Grammer,1,10,main,Frasier
Niles Crane,David Hyde Pierce,1,10,main,Niles
Gertrude Moon,Millicent Martin,1,10,recurring,Gertrude
Judge Anderson,Ron Canada,1,10,other,Judge
Judge Stern,Hira Ambrosino,1,10,other,Judge
Martin Crane,John Mahoney,1,10,main,Martin
Reno Officiant,Sam Johnson,1,10,other,Reno
Roz Doyle,Peri Gilpin,1,10,main,Roz
Daphne Moon,Jane Leeves,2,10,main,Daphne
Frasier Crane,Kelsey Grammer,2,10,main,Frasier
Niles Crane,David Hyde Pierce,2,10,main,Niles
George,Luis Guzmán,2,10,other,George
Jerry,Billy Bean,2,10,other,Jerry
Mark,Charles Busch,2,10,other,Mark
Martin Crane,John Mahoney,2,10,main,Martin
Motorist,Karen Kim,2,10,other,Motorist
Motorist,Tony Pasqualini,2,10,other,Motorist
Motorist,Damian D. Lewis,2,10,other,Motorist
Motorist,Kila Kitu,2,10,other,Motorist
Motorist,Anna C. Miller,2,10,other,Motorist
Roz Doyle,Peri Gilpin,2,10,main,Roz
Sheila,Leelee Sobieski,2,10,other,Sheila
Tow Truck ver,Morocco Omari,2,10,other,Tow
Albert,Conrad Janis,3,10,recurring,Albert
Cecilia,Marilyn Tokuda,3,10,other,Cecilia
Daphne Moon,Jane Leeves,3,10,main,Daphne
Frasier Crane,Kelsey Grammer,3,10,main,Frasier
Niles Crane,David Hyde Pierce,3,10,main,Niles
Jerry,John Wesley,3,10,other,Jerry
Martin Crane,John Mahoney,3,10,main,Martin
Mrs. Richman,Brooks Almy,3,10,recurring,Mrs.
Paul,Marc Vann,3,10,other,Paul
Roz Doyle,Peri Gilpin,3,10,main,Roz
Swinger,Don Tiffany,3,10,other,Swinger
Daphne Moon,Jane Leeves,4,10,main,Daphne
Frasier Crane,Kelsey Grammer,4,10,main,Frasier
Niles Crane,David Hyde Pierce,4,10,main,Niles
Jen,Zooey Deschanel,4,10,other,Jen
Kenny Daly,Tom McGowan,4,10,recurring,Kenny
Martin Crane,John Mahoney,4,10,main,Martin
Roz Doyle,Peri Gilpin,4,10,main,Roz
Stu,Bradley Whitford,4,10,other,Stu
Beverly,Kathe Mazur,5,10,other,Beverly
Bulldog Briscoe,Dan Butler,5,10,recurring,Bulldog
Courier,Emory Livers,5,10,other,Courier
Daphne Moon,Jane Leeves,5,10,main,Daphne
Donald,JD Cullum,5,10,other,Donald
Frasier Crane,Kelsey Grammer,5,10,main,Frasier
Niles Crane,David Hyde Pierce,5,10,main,Niles
Gertrude Moon,Millicent Martin,5,10,recurring,Gertrude
James the Barista,James Aaron Oliver,5,10,recurring,James
Jason White,Steven Anthony Lawrence,5,10,other,Jason
Martin Crane,John Mahoney,5,10,main,Martin
Noel Shempsky,Patrick Kerr,5,10,recurring,Noel
Roz Doyle,Peri Gilpin,5,10,main,Roz
Todd,Zachary Kranzler,5,10,other,Todd
Zombie,Darion Basco,5,10,other,Zombie
Daphne Moon,Jane Leeves,6,10,main,Daphne
Frasier Crane,Kelsey Grammer,6,10,main,Frasier
Lilith Sternin,Bebe Neuwirth,6,10,recurring,Lilith
Niles Crane,David Hyde Pierce,6,10,main,Niles
Frederick Crane,Trevor Einhorn,6,10,recurring,Frederick
Jason,Stephon Fuller,6,10,other,Jason
Jeremy Berman,Brendan Hill,6,10,other,Jeremy
Kenny Daly,Tom McGowan,6,10,recurring,Kenny
Martin Crane,John Mahoney,6,10,main,Martin
Noel Shempsky,Patrick Kerr,6,10,recurring,Noel
Rabbi Gendler,Corey Fischer,6,10,other,Rabbi
Roz Doyle,Peri Gilpin,6,10,main,Roz
Daphne Moon,Jane Leeves,7,10,main,Daphne
Doctor,Joseph Kell,7,10,recurring,Doctor
Frasier Crane,Kelsey Grammer,7,10,main,Frasier
Niles Crane,David Hyde Pierce,7,10,main,Niles
Gil Chesterton,Edward Hibbert,7,10,recurring,Gil
James the Barista,James Aaron Oliver,7,10,recurring,James
Martin Crane,John Mahoney,7,10,main,Martin
Roz Doyle,Peri Gilpin,7,10,main,Roz
The Other Daphne,Robyn Johanna,7,10,other,The
The Other Niles,Dominic Rambaran,7,10,other,The
Trish Haney,Ana Gasteyer,7,10,other,Trish
Colleen,Judith Scott,8,10,other,Colleen
Daphne Moon,Jane Leeves,8,10,main,Daphne
Doctor,Greg Callahan,8,10,recurring,Doctor
Frasier Crane,Kelsey Grammer,8,10,main,Frasier
Ling,Denise Iketani,8,10,other,Ling
Niles Crane,David Hyde Pierce,8,10,main,Niles
Shafer,Daniel Davis,8,10,other,Shafer
Martin Crane,John Mahoney,8,10,main,Martin
Orderly,Steve Kehela,8,10,other,Orderly
Orderly,Brandon Johnson,8,10,other,Orderly
Roz Doyle,Peri Gilpin,8,10,main,Roz
Surgical Nurse,Alice Dodd,8,10,other,Surgical
Toddler Frasier,Michael Krepack,8,10,other,Toddler
Young Frasier,Kendall Schmidt,8,10,recurring,Young
Young Niles,Murphy Giller,8,10,recurring,Young
Daphne Moon,Jane Leeves,9,10,main,Daphne
Frasier Crane,Kelsey Grammer,9,10,main,Frasier
Niles Crane,David Hyde Pierce,9,10,main,Niles
Gertrude Moon,Millicent Martin,9,10,recurring,Gertrude
Grant,John Turturro,9,10,other,Grant
Martin Crane,John Mahoney,9,10,main,Martin
Roz Doyle,Peri Gilpin,9,10,main,Roz
Daphne Moon,Jane Leeves,10,10,main,Daphne
Frasier Crane,Kelsey Grammer,10,10,main,Frasier
Niles Crane,David Hyde Pierce,10,10,main,Niles
James the Waiter,James Aaron Oliver,10,10,recurring,James
Margie,Hanna Watanabe,10,10,other,Margie
Martin Crane,John Mahoney,10,10,main,Martin
Rick,Dean Cain,10,10,other,Rick
Roz Doyle,Peri Gilpin,10,10,main,Roz
Supervisor,Rick Fitts,10,10,other,Supervisor
Twinkle,Kaileigh Brielle Martin,10,10,other,Twinkle
Attendant,W. Scott Strassner,11,10,other,Attendant
Daphne Moon,Jane Leeves,11,10,main,Daphne
Frasier Crane,Kelsey Grammer,11,10,main,Frasier
Niles Crane,David Hyde Pierce,11,10,main,Niles
Esthetician,Annie Wersching,11,10,other,Esthetician
Facialist,Monica McSwain,11,10,other,Facialist
Martin Crane,John Mahoney,11,10,main,Martin
Receptionist,Hal Sparks,11,10,other,Receptionist
Reservationist,Sarah Shahi,11,10,other,Reservationist
Roz Doyle,Peri Gilpin,11,10,main,Roz
Bulldog Briscoe,Dan Butler,12,10,recurring,Bulldog
Daphne Moon,Jane Leeves,12,10,main,Daphne
Frasier Crane,Kelsey Grammer,12,10,main,Frasier
Niles Crane,David Hyde Pierce,12,10,main,Niles
Gil Chesterton,Edward Hibbert,12,10,recurring,Gil
Julia Wilcox,Felicity Huffman,12,10,recurring,Julia
Kenny Daly,Tom McGowan,12,10,recurring,Kenny
Martin Crane,John Mahoney,12,10,main,Martin
Noel Shempsky,Patrick Kerr,12,10,recurring,Noel
Plumber,Kendall Clement,12,10,other,Plumber
Roz Doyle,Peri Gilpin,12,10,main,Roz
Steve,Paul F. Tompkins,12,10,other,Steve
Van,Mike Judge,12,10,other,Van
Albert,Brent Spiner,13,10,recurring,Albert
Alice May Doyle,Ashley Thomas,13,10,recurring,Alice
Daphne Moon,Jane Leeves,13,10,main,Daphne
Frasier Crane,Kelsey Grammer,13,10,main,Frasier
Lilith Sternin,Bebe Neuwirth,13,10,recurring,Lilith
Niles Crane,David Hyde Pierce,13,10,main,Niles
Flight Attendant,Laurel Green,13,10,other,Flight
Gertrude Moon,Millicent Martin,13,10,recurring,Gertrude
Guy in Waiting Room,Kevin Chamberlin,13,10,other,Guy
James the Barista,James Aaron Oliver,13,10,recurring,James
Martin Crane,John Mahoney,13,10,main,Martin
Nurse,Frances Callier,13,10,recurring,Nurse
Rose,Kie Spring,13,10,other,Rose
Roz Doyle,Peri Gilpin,13,10,main,Roz
Waiter,David Boyd,13,10,recurring,Waiter
Alex,Paul Schulze,14,10,other,Alex
Alice May Doyle,Ashley Thomas,14,10,recurring,Alice
Antonia,Ann Cusack,14,10,other,Antonia
Bill,Christopher Lawford,14,10,other,Bill
Daphne Moon,Jane Leeves,14,10,main,Daphne
Frasier Crane,Kelsey Grammer,14,10,main,Frasier
Niles Crane,David Hyde Pierce,14,10,main,Niles
Gertrude Moon,Millicent Martin,14,10,recurring,Gertrude
Jeremy,Scotch Ellis Loring,14,10,other,Jeremy
Martin Crane,John Mahoney,14,10,main,Martin
Mike Shaw,Harve Presnell,14,10,other,Mike
Mr. Slobodkin,Booth Colman,14,10,other,Mr.
Roz Doyle,Peri Gilpin,14,10,main,Roz
Sharon,Nana Visitor,14,10,other,Sharon
Thad,Matthew Yang King,14,10,other,Thad
Campbell,Amanda Corday,15,10,other,Campbell
Chelsea,Jeanne Tripplehorn,15,10,other,Chelsea
Coach Fuller,Bob Hoskins,15,10,other,Coach
Daphne Moon,Jane Leeves,15,10,main,Daphne
Frasier Crane,Kelsey Grammer,15,10,main,Frasier
Niles Crane,David Hyde Pierce,15,10,main,Niles
Jim,Jack Brewer,15,10,other,Jim
Julia Wilcox,Felicity Huffman,15,10,recurring,Julia
Kenny Daly,Tom McGowan,15,10,recurring,Kenny
Martin Crane,John Mahoney,15,10,main,Martin
Roz Doyle,Peri Gilpin,15,10,main,Roz
Waitress,Nadine Donahue,15,10,recurring,Waitress
Alice May Doyle,Ashley Thomas,16,10,recurring,Alice
Bike Clerk,Mario Prado Jr.,16,10,other,Bike
Cora Winston,Emily Yancy,16,10,other,Cora
Daphne Moon,Jane Leeves,16,10,main,Daphne
Frasier Crane,Kelsey Grammer,16,10,main,Frasier
Niles Crane,David Hyde Pierce,16,10,main,Niles
Gertrude Moon,Millicent Martin,16,10,recurring,Gertrude
Julia Wilcox,Felicity Huffman,16,10,recurring,Julia
Kenny Daly,Tom McGowan,16,10,recurring,Kenny
Martin Crane,John Mahoney,16,10,main,Martin
Roz Doyle,Peri Gilpin,16,10,main,Roz
Ahmrit,Alan Cumming,17,10,other,Ahmrit
Daphne Moon,Jane Leeves,17,10,main,Daphne
Frasier Crane,Kelsey Grammer,17,10,main,Frasier
Niles Crane,David Hyde Pierce,17,10,main,Niles
Kenny Daly,Tom McGowan,17,10,recurring,Kenny
Martin Crane,John Mahoney,17,10,main,Martin
Mindy,Laura Linney,17,10,other,Mindy
Roz Doyle,Peri Gilpin,17,10,main,Roz
