episode,title,directedBy,writtenBy,originalAirDate,viewershipInMillions,season,imdbVotes,imdbRatings
14,"Fool Me Once, Shame On You, Fool Me Twice...",Philip Charles MacKenzie,Christopher Lloyd,1995-02-07,21,2,427,8.3
15,You Scratch My Book...,Andy Ackerman,Joe Keenan,1995-02-14,29,2,388,7.6
16,The Show Where Sam Shows Up,James Burrows,Ken Levine & David Isaacs,1995-02-21,36,2,429,8.2
17,Daphne's Room,David Lee,Linda Morris & Vic Rauseo,1995-02-28,29,2,420,8
18,The Club,David Lee,Elias Davis & David Pollock,1995-03-21,32,2,456,8.3
19,Someone to Watch Over Me,James Burrows,Don Seigel,1995-03-28,32,2,424,8.1
20,Breaking the Ice,Philip Charles MacKenzie,Steven Levitan,1995-04-18,30,2,402,7.8
21,An Affair to Forget,Philip Charles MacKenzie,Chuck Ranberg & Anne Flett-Giordano,1995-05-02,28,2,467,8.2
22,"Agents in America, Part III",Philip Charles MacKenzie,Joe Keenan,1995-05-09,26,2,734,9.2
23,The Innkeepers,James Burrows,David Lloyd,1995-05-16,30,2,416,7.7
24,Dark Victory,James Burrows,Christopher Lloyd and Linda Morris & Vic Rauseo,1995-05-23,29,2,458,7.9
1,She's the Boss,Philip Charles MacKenzie,Chuck Ranberg & Anne Flett-Giordano,1995-09-19,28,3,356,8.3
2,Shrink Rap,David Lee,Christopher Lloyd,1995-09-26,29,3,382,8.1
3,Martin Does It His Way,Philip Charles MacKenzie,David Lloyd,1995-10-10,25,3,359,7.9
4,Leapin' Lizards,Philip Charles MacKenzie,Chuck Ranberg & Anne Flett-Giordano,1995-10-31,28,3,403,8.1
5,Kisses Sweeter Than Wine,Philip Charles MacKenzie,Anne Flett-Giordano,1995-11-07,30,3,348,7.8
6,Sleeping with the Enemy,Jeff Melman,Linda Morris & Vic Rauseo,1995-11-14,27,3,372,7.9
7,The Adventures of Bad Boy and Dirty Girl,Philip Charles MacKenzie,Joe Keenan,1995-11-21,28,3,386,8.3
8,The Last Time I Saw Maris,Philip Charles MacKenzie,Ian Gurvitz,1995-11-28,30,3,404,8.6
9,Frasier Grinch,Philip Charles MacKenzie,David Lloyd,1995-12-19,27,3,401,8.2
10,It's Hard to Say Goodbye if You Won't Leave,Philip Charles MacKenzie,Steven Levitan,1996-01-09,31,3,384,8.1
11,The Friend,Philip Charles MacKenzie,Jack Burditt,1996-01-16,25,3,410,7.9
12,Come Lie with Me,Philip Charles MacKenzie,Steven Levitan,1996-01-30,32,3,598,9.1
13,Moon Dance,Kelsey Grammer,"Joe Keenan, Christopher Lloyd, Rob Greenberg, Jack Burditt, Chuck Ranberg, Anne Flett-Giordano, Linda Morris & Vic Rauseo",1996-02-06,28,3,358,7.7
14,The Show Where Diane Comes Back,James Burrows,Christopher Lloyd,1996-02-13,25,3,383,7.2
15,A Word to the Wiseguy,Philip Charles MacKenzie,Joe Keenan,1996-02-20,29,3,355,7.5
16,Look Before You Leap,James Burrows,Chuck Ranberg & Anne Flett-Giordano,1996-02-27,34,3,406,8.1
17,High Crane Drifter,Philip Charles MacKenzie,Jack Burditt,1996-03-12,28,3,365,8.3
18,Chess Pains,Gordon Hunt,Rob Greenberg,1996-03-26,27,3,417,8.5
19,Crane vs. Crane,Philip Charles MacKenzie,David Lloyd,1996-04-09,26,3,376,8.2
20,Police Story,Philip Charles MacKenzie,Sy Rosen,1996-04-23,29,3,356,8.1
21,"Where There's Smoke, There's Fired",Philip Charles MacKenzie,Joe Keenan,1996-04-30,25,3,374,7.6
22,Frasier Loves Roz,Philip Charles MacKenzie,Suzanne Martin,1996-05-07,27,3,408,8
23,The Focus Group,Philip Charles MacKenzie,Rob Greenberg,1996-05-14,24,3,385,8.1
24,You Can Go Home Again,David Lee,Linda Morris & Vic Rauseo,1996-05-21,30,3,428,8.2
1,The Two Mrs. Cranes,David Lee,Joe Keenan,1996-09-17,21,4,343,7.9
2,Love Bites Dog,Jeff Melman,Suzanne Martin,1996-09-24,19,4,332,7.6
3,The Impossible Dream,David Lee,Rob Greenberg,1996-10-15,14,4,362,8.5
4,A Cranes' Critique,Jeff Melman,Dan Cohen & F. J. Pratt,1996-10-22,15,4,371,8.6
5,Head Game,David Lee,Rob Greenberg,1996-11-12,20,4,384,8.3
6,Mixed Doubles,Jeff Melman,Christopher Lloyd,1996-11-19,18,4,879,9.4
7,A Lilith Thanksgiving,Jeff Melman,Chuck Ranberg & Anne Flett-Giordano,1996-11-26,19,4,349,7.9
8,Our Father Whose Art Ain't Heaven,Jeff Melman,Michael B. Kaplan,1996-12-09,16,4,343,7.8
9,"Dad Loves Sherry, the Boys Just Whine",James Burrows,Joe Keenan,1997-01-07,19,4,375,8.2
10,Liar! Liar!,James Burrows,Chuck Ranberg & Anne Flett-Giordano,1997-01-14,18,4,438,8.7
11,Three Days of the Condo,David Lee,Michael B. Kaplan,1997-01-21,19,4,378,8.3
12,Death and the Dog,James Burrows,Suzanne Martin,1997-02-11,15,4,386,8.3
13,Four For the Seesaw,Jeff Melman,David Lloyd,1997-02-18,15,4,354,8.1
14,To Kill a Talking Bird,David Lee,Jeffrey Richman,1997-02-25,17,4,342,7.6
15,Roz's Krantz and Gouldenstein Are Dead,Jeff Melman,William Lucas Walker,1997-03-11,17,4,352,8
16,The Unnatural,Pamela Fryman,Michael B. Kaplan,1997-04-01,16,4,373,7.8
17,Roz's Turn,Joyce Gittlin,Joe Keenan,1997-04-15,16,4,400,8.3
18,Ham Radio,David Lee,David Lloyd,1997-04-22,15,4,450,8.8
21,Daphne Hates Sherry,Kelsey Grammer,Chuck Ranberg & Anne Flett-Giordano,1997-05-06,14,4,399,8.3
22,Are You Being Served?,Gordon Hunt,William Lucas Walker,1997-05-13,16,4,372,8.1
23,Ask Me No Questions,Jeff Melman,Dan Cohen & F. J. Pratt,1997-05-20,19,4,623,9.1
19,Three Dates and a Break Up,Jeff Melman,Rob Greenberg,1997-04-29,15,4,377,8.3
20,Three Dates and a Break Up,Jeff Melman,Rob Greenberg,1997-04-29,15,4,365,8.1
1,Frasier's Imaginary Friend,David Lee,Rob Greenberg,1997-09-23,21,5,304,7.9
2,The Gift Horse,Pamela Fryman,Ron Darian,1997-09-30,19,5,311,7.7
3,Halloween,Pamela Fryman,Suzanne Martin,1997-10-28,20,5,344,8.3
4,The Kid,Jeff Melman,Jeffrey Richman & Suzanne Martin,1997-11-04,20,5,423,8.5
5,The 1000th Show,David Lee,Christopher Lloyd & Joe Keenan,1997-11-11,18,5,373,8.7
6,Voyage of the Damned,Pamela Fryman,Jeffrey Richman,1997-11-18,17,5,335,7.4
7,My Fair Frasier,Jeff Melman,Jay Kogen,1997-11-25,17,5,328,7.8
8,Desperately Seeking Closure,Pamela Fryman,Rob Hanning,1997-12-09,17,5,379,8.2
9,Perspectives On Christmas,David Lee,Christopher Lloyd,1997-12-16,19,5,381,7.6
10,Where Every Bloke Knows Your Name,Jeff Melman,Rob Hanning,1998-01-06,18,5,472,8.9
11,Ain't Nobody's Business If I Do,David Lee,Jay Kogen,1998-01-13,19,5,864,9.5
12,The Zoo Story,Pamela Fryman,Joe Keenan,1998-01-20,16,5,359,8.2
13,The Maris Counselor,Jeff Melman,David Lloyd,1998-02-03,18,5,338,8
14,The Ski Lodge,David Lee,Joe Keenan,1998-02-24,17,5,318,7.7
15,Room Service,David Lee,Ken Levine & David Isaacs,1998-03-03,18,5,340,7.8
16,Beware of Greeks,Jeff Melman,David Lloyd,1998-03-17,16,5,380,8.7
17,The Perfect Guy,Jeff Melman,Rob Greenberg,1998-03-24,18,5,315,7.4
18,Bad Dog,Pamela Fryman,Suzanne Martin,1998-04-07,15,5,336,8
19,Frasier Gotta Have It,Dan Butler,Rob Greenberg,1998-04-21,16,5,365,8.2
20,First Date,Kelsey Grammer,Rob Hanning,1998-04-28,19,5,347,7.9
21,Roz and the Schnoz,Ken Levine,Jeffrey Richman,1998-05-05,16,5,359,8.1
22,The Life of the Party,Jeff Melman,Suzanne Martin & Jeffrey Richman,1998-05-12,15,5,514,9.1
23,"Party, Party",Jeff Melman,David Lloyd,1998-05-19,17,5,353,8.5
24,Sweet Dreams,Sheldon Epps,Jay Kogen,1998-05-19,21,5,421,8.7
1,Good Grief,Pamela Fryman,Christopher Lloyd,1998-09-24,28,6,323,8.5
2,Frasier's Curse,Pamela Fryman,Jay Kogen,1998-10-01,25,6,324,8.2
3,Dial M for Martin,Ken Lamkin,Rob Greenberg,1998-10-08,25,6,327,8.4
4,Hot Ticket,David Lee,Jeffrey Richman,1998-10-15,22,6,325,8.1
5,"First, Do No Harm",Sheldon Epps,Jordan Hawley & William Schifrin,1998-10-29,24,6,402,8.2
6,Secret Admirer,Pamela Fryman,Lori Kirkland,1998-11-05,22,6,329,8.2
7,How to Bury a Millionaire,Pamela Fryman,Lori Kirkland,1998-11-12,22,6,319,8.1
8,The Seal Who Came to Dinner,David Lee,Joe Keenan,1998-11-19,21,6,346,8.3
9,"Roz, a Loan",Pamela Fryman,Janis Hirsch,1998-12-10,23,6,343,8.5
10,"Merry Christmas, Mrs. Moskowitz",Kelsey Grammer,Jay Kogen,1998-12-17,25,6,329,8.3
11,Good Samaritan,Sheldon Epps,Alex Gregory & Peter Huyck,1999-01-07,24,6,536,9
12,"Our Parents, Ourselves",Pamela Fryman,Janis Hirsch,1999-01-21,23,6,339,7.2
13,The Show Where Woody Shows Up,Pamela Fryman,Rob Greenberg,1999-02-04,24,6,322,7.6
14,Three Valentines,Kelsey Grammer,Rob Hanning,1999-02-11,NA,6,338,7.9
15,To Tell the Truth,David Lee,Rob Hanning,1999-02-18,27,6,444,8.7
16,Decoys,Pamela Fryman,David Lloyd,1999-02-25,25,6,296,7.5
17,Dinner Party,David Lee,Jeffrey Richman,1999-03-11,21,6,371,8.3
18,Taps at the Montana,David Lee,David Lloyd,1999-03-25,23,6,332,8.2
19,IQ,David Lee,Rob Hanning & Jay Kogen,1999-04-08,21,6,313,7.9
20,Dr. Nora,Katy Garretson,Joe Keenan,1999-04-29,21,6,322,7.4
21,When a Man Loves Two Women,David Lee,Alex Gregory & Peter Huyck,1999-05-06,20,6,332,7.6
22,Visions of Daphne,Robert H. Egan,Janis Hirsch & Lori Kirkland,1999-05-13,21,6,389,8.6
23,Shutout in Seattle,Pamela Fryman,David Isaacs,1999-05-20,27,6,324,7.7
24,Shutout in Seattle,Pamela Fryman,David Isaacs,1999-05-20,27,6,336,7.8
1,Momma Mia,Kelsey Grammer,Rob Hanning,1999-09-23,25,7,423,9.1
2,Father of the Bride,David Lee,Mark Reisman,1999-09-30,23,7,371,8.7
3,Radio Wars,Sheldon Epps,Sam Johnson & Chris Marcil,1999-10-07,21,7,346,8.5
4,Everyone's a Critic,Pamela Fryman,Joe Keenan,1999-10-14,20,7,305,7.6
5,The Dog that Rocks the Cradle,Pamela Fryman,Bob Daily,1999-10-21,22,7,324,8.3
6,Rivals,Katy Garretson,Christopher Lloyd,1999-11-04,20,7,295,7.7
7,A Tsar is Born,Pamela Fryman,Charlie Hauck,1999-11-11,18,7,293,7.7
8,The Late Dr. Crane,Robert H. Egan,Rob Hanning,1999-11-18,18,7,302,7.8
9,The Apparent Trap,Kelsey Grammer,Dan O'Shannon,1999-11-25,20,7,324,7.7
10,Back Talk,Pamela Fryman,Lori Kirkland,1999-12-09,NA,7,509,9
11,The Fight Before Christmas,Pamela Fryman,Jon Sherman,1999-12-16,28,7,311,7.6
12,RDWRER,Kelsey Grammer,Sam Johnson & Chris Marcil,2000-01-06,24,7,343,8.1
13,They're Playing Our Song,David Lee,David Lloyd,2000-01-13,NA,7,358,8.3
14,Big Crane on Campus,Sheldon Epps,Mark Reisman,2000-02-03,NA,7,312,8.3
15,Out with Dad,David Lee,Joe Keenan,2000-02-10,NA,7,350,8.8
16,Something About Dr. Mary,Wil Shriner,Jay Kogen,2000-02-17,NA,7,307,7.9
17,Whine Club,Kelsey Grammer,Bob Daily & Jon Sherman,2000-02-24,21,7,301,8
18,Hot Pursuit,Sheldon Epps,Charlie Hauck,2000-03-23,14,7,347,8.4
19,Morning Becomes Entertainment,Pamela Fryman,Rob Hanning & Jay Kogen,2000-04-06,16,7,317,7.7
20,To Thine Old Self Be True,Robert H. Egan,Dan O'Shannon,2000-04-27,20,7,299,7.7
21,The Three Faces of Frasier,Pamela Fryman,Jon Sherman,2000-05-04,16,7,304,7.7
22,Dark Side of the Moon,David Lee,Lori Kirkland,2000-05-11,23,7,349,8
3,The Bad Son,Sheldon Epps,Rob Hanning,2000-10-31,18,8,271,7.8
4,The Great Crane Robbery,Katy Garretson,Gayle Abrams,2000-11-14,18,8,274,7.5
5,Taking Liberties,Kelsey Grammer,Sam Johnson & Chris Marcil,2000-11-21,18,8,291,7.7
6,Legal Tender Love and Care,Pamela Fryman,Saladin K. Patterson,2000-11-28,17,8,342,8.4
7,The New Friend,Scott Ellis,Bob Daily,2000-12-05,16,8,282,7.6
8,Mary Christmas,Pamela Fryman,Eric Zicklin,2000-12-12,15,8,270,7.4
9,Frasier's Edge,David Lee,Jon Sherman & Dan O'Shannon,2001-01-09,18,8,284,7.5
10,Cranes Unplugged,Sheldon Epps,Lori Kirkland,2001-01-16,17,8,329,8.3
11,Motor Skills,Pamela Fryman,Story by : Sam Johnson & Chris MarcilTeleplay by : Eric Zicklin,2001-01-30,17,8,330,8.4
12,The Show Must Go Off,Robert H. Egan,Mark Reisman,2001-02-06,14,8,319,7.9
13,Sliding Frasiers,Pamela Fryman,Dan O'Shannon & Bob Daily,2001-02-13,14,8,392,8.3
14,Hungry Heart,Kelsey Grammer,Gayle Abrams,2001-02-20,16,8,331,7.7
15,Hooping Cranes,Kelsey Grammer,Jon Sherman,2001-02-27,12,8,293,7.3
16,Docu.Drama,David Lee,Sam Johnson & Chris Marcil,2001-03-06,17,8,337,8
17,It Takes Two to Tangle,Wil Shriner,Rob Hanning,2001-03-27,15,8,318,7.1
18,Forgotten But Not Gone,Pamela Fryman,David Lloyd,2001-04-17,13,8,285,7.6
19,Daphne Returns,Pamela Fryman,Dan O'Shannon & Bob Daily,2001-05-01,17,8,293,7.5
20,The Wizard and Roz,Sheldon Epps,Saladin K. Patterson,2001-05-08,14,8,369,8.5
21,Semi-Decent Proposal,Katy Garretson,Lori Kirkland,2001-05-15,15,8,295,7.5
22,A Passing Fancy,Kelsey Grammer,Jon Sherman,2001-05-15,15,8,301,7.6
23,A Day in May,Kelsey Grammer,Eric Zicklin & Lori Kirkland,2001-05-22,17,8,325,8.4
24,The Cranes Go Caribbean,Kelsey Grammer,Mark Reisman & Rob Hanning,2001-05-22,17,8,322,8.2
1,And the Dish Ran Away with the Spoon,Pamela Fryman,David Angell & Peter Casey,2000-10-24,28,8,273,7.8
2,And the Dish Ran Away with the Spoon,Pamela Fryman,David Angell & Peter Casey,2000-10-24,28,8,299,7.5
3,The First Temptation of Daphne,Kelsey Grammer,Gayle Abrams,2001-10-02,16,9,272,7.4
4,The Return of Martin Crane,David Lee,Dan O'Shannon & Bob Daily,2001-10-09,15,9,340,7.8
5,Love Stinks,Katy Garretson,Saladin K. Patterson,2001-10-16,15,9,292,7.9
6,Room Full of Heroes,Wil Shriner,Eric Zicklin,2001-10-30,15,9,314,7.9
7,Bla-Z-Boy,Robert H. Egan,Jon Sherman,2001-11-06,14,9,331,7.2
8,The Two Hundredth Episode,David Lee,Rob Hanning,2001-11-13,19,9,296,7.6
9,Sharing Kirby,Kelsey Grammer,Heide Perlman,2001-11-20,19,9,342,7.7
10,Junior Agent,Scott Ellis,Bob Daily,2001-11-27,16,9,309,8.2
11,Bully for Martin,Stuart Ross,Eric Zicklin,2001-12-11,16,9,305,7.6
12,Mother Load: Part 1,Sheldon Epps,Lori Kirkland,2002-01-08,14,9,287,7.1
13,Mother Load: Part 2,Sheldon Epps,Lori Kirkland,2002-01-15,14,9,282,7.3
14,Juvenilia,Katy Garretson,Sam Johnson & Chris Marcil,2002-01-22,13,9,296,7.4
15,The Proposal,Wil Shriner,Rob Hanning,2002-02-05,19,9,286,7.2
16,Wheels of Fortune,Jerry Zaks,Ken Levine & David Isaacs,2002-02-26,19,9,271,7.3
17,Three Blind Dates,Kelsey Grammer,Gayle Abrams,2002-03-05,17,9,300,7.7
18,War of the Words,Sheldon Epps,Saladin K. Patterson,2002-03-12,14,9,339,8.3
19,Deathtrap,Kelsey Grammer,Jon Sherman,2002-04-02,14,9,333,8.1
20,The Love You Fake,Katy Garretson,Sam Johnson & Chris Marcil,2002-04-09,14,9,286,7.7
21,Cheerful Goodbyes,Sheldon Epps,Heide Perlman,2002-04-30,14,9,299,8.2
22,Frasier Has Spokane,Wil Shriner,Eric Zicklin,2002-05-07,15,9,304,7.7
23,The Guilt Trippers,Wil Shriner,Lori Kirkland,2002-05-14,13,9,343,8.1
24,Moons Over Seattle,Sheldon Epps,Bob Daily,2002-05-21,17,9,300,7.5
1,Don Juan in Hell,Kelsey Grammer,Sam Johnson & Chris Marcil,2001-09-25,19,9,290,7.6
2,Don Juan in Hell,Kelsey Grammer,Lori Kirkland,2001-09-25,19,9,277,7.7
1,The Ring Cycle,Kelsey Grammer,Jon Sherman,2002-09-24,21,10,281,7.7
2,Enemy at the Gate,Kelsey Grammer,Lori Kirkland,2002-10-01,14,10,264,7.4
3,Proxy Prexy,Cynthia J. Popp,Chris Marcil,2002-10-08,14,10,329,8.6
4,Kissing Cousin,Scott Ellis,Eric Zicklin,2002-10-15,13,10,285,7.3
5,Tales From the Crypt,David Lee,Saladin K. Patterson,2002-10-29,12,10,292,7.5
6,Star Mitzvah,Sheldon Epps,Sam Johnson,2002-11-05,11,10,277,7.1
7,Bristle While You Work (Part 1),Sheldon Epps,Tom Reeder,2002-11-12,17,10,319,8.3
8,Rooms With A View (Part 2),Kelsey Grammer,Dan O'Shannon & Lori Kirkland & Bob Daily,2002-11-19,18,10,274,7.1
9,Don't Go Breaking My Heart (Part 3),Jerry Zaks,Bob Daily,2002-11-26,14,10,299,7.9
10,We Two Kings,Jerry Zaks,Patricia Breen,2002-12-10,13,10,324,8
11,Door Jam,Scott Ellis,Heide Perlman,2003-01-07,12,10,345,8.4
12,The Harassed,Kelsey Grammer,Chris Marcil,2003-01-14,12,10,285,7.7
13,Lilith Needs a Favor,Sheldon Epps,Lori Kirkland,2003-02-04,14,10,278,7.4
14,Daphne Does Dinner,Katy Garretson,Heide Perlman,2003-02-11,12,10,326,8.2
15,Trophy Girlfriend,Kelsey Grammer,Saladin K. Patterson,2003-02-18,12,10,273,7.5
16,Fraternal Schwinns,Sheldon Epps,Sam Johnson,2003-02-25,12,10,262,7.7
17,Kenny on the Couch,David Lee,Bob Daily,2003-03-04,9,10,409,8.3
18,Roe to Perdition,Jerry Zaks,Jon Sherman,2003-03-18,9,10,275,7.4
19,Some Assembly Required,Wil Shriner,Patricia Breen,2003-04-01,9,10,361,8.3
20,"Farewell, Nervosa",Kelsey Grammer,Eric Zicklin,2003-04-22,9,10,308,7.8
21,The Devil and Dr. Phil,Wil Shriner,Sam Johnson & Chris Marcil,2003-04-29,11,10,328,7.4
22,Fathers and Sons,Kelsey Grammer,Jon Sherman,2003-05-06,10,10,288,7.7
23,Analyzed Kiss,Katy Garretson,Saladin K. Patterson & Heide Perlman,2003-05-13,10,10,334,7.9
24,A New Position for Roz,Kelsey Grammer,Lori Kirkland,2003-05-20,11,10,300,8.1
1,"No Sex Please, We're Skittish",David Lee,Bob Daily,2003-09-23,11,11,590,9.2
2,"A Man, a Plan and a Gal: Julia",Kelsey Grammer,Jon Sherman,2003-09-23,14,11,447,8.8
3,The Doctor is Out,David Lee,Joe Keenan,2003-09-30,11,11,308,7.8
4,The Babysitter,Kelsey Grammer,Jeffrey Richman,2003-10-07,11,11,307,8
5,The Placeholder,Sheldon Epps,Lori Kirkland Baker,2003-10-14,11,11,301,8.2
6,I'm Listening,Sheldon Epps,Heide Perlman,2003-10-21,11,11,308,8.2
7,Maris Returns,Kelsey Grammer,Chris Marcil,2003-11-04,10,11,287,7.8
8,Murder Most Maris,Scott Ellis,Sam Johnson,2003-11-11,11,11,294,7.4
9,Guns N' Neuroses,Scott Ellis,Jon Sherman,2003-11-18,11,11,327,8.4
10,SeaBee Jeebies,Kelsey Grammer,Patricia Breen,2003-12-02,10,11,366,8.3
11,High Holidays,Sheldon Epps,Christopher Lloyd,2003-12-09,11,11,345,7
12,Frasier-Lite,Sheldon Epps,"Sam Johnson & Chris Marcil & Jeffrey Richman and
Jon Sherman & Bob Daily & Patricia Breen",2004-01-06,10,11,282,7.2
13,The Ann Who Came to Dinner,Scott Ellis,Sam Johnson & Chris Marcil,2004-01-13,10,11,299,7.5
14,Freudian Sleep,Cynthia J. Popp,Lori Kirkland Baker,2004-02-03,12,11,374,8.6
15,Caught in the Act,Kelsey Grammer,Joe Keenan,2004-02-24,10,11,285,7.7
16,Boo!,Katy Garretson,Jeffrey Richman,2004-03-02,10,11,308,8.2
17,Coots and Ladders,Kelsey Grammer,Heide Perlman,2004-03-16,8,11,304,8.6
18,Match Game,Katy Garretson,Bob Daily,2004-03-30,11,11,339,8.6
19,Miss Right Now,Scott Ellis,Ken Levine & David Isaacs,2004-04-06,10,11,288,8.2
20,And Frasier Makes Three,Scott Ellis,Sam Johnson,2004-04-20,10,11,288,7.5
21,Detour,Kelsey Grammer,Chris Marcil,2004-04-27,12,11,288,7.9
22,Crock Tales,Sheldon Epps,Jon Sherman & Bob Daily,2004-05-04,14,11,600,9.2
23,"Goodnight, Seattle",David Lee,Christopher Lloyd & Joe Keenan,2004-05-13,33,11,313,8.2
24,"Goodnight, Seattle",David Lee,Christopher Lloyd & Joe Keenan,2004-05-13,33,11,309,8.1
