characterName,actorName,season,episode,characterType,firstName
Mr. Hawkins,Jack Donner,18,6,other,Mr.
Episode complete credited cast:,Episode complete credited cast:,18,7,NA,Episode
Frasier Crane,Kelsey Grammer,18,7,main,Frasier
Daphne Moon,Jane Leeves,18,7,main,Daphne
Niles Crane,David Hyde Pierce,18,7,main,Niles
Roz Doyle,Peri Gilpin,18,7,main,Roz
Martin Crane,John Mahoney,18,7,main,Martin
Donny Douglas,Saul Rubinek,18,7,recurring,Donny
Kenny Daly,Tom McGowan,18,7,recurring,Kenny
Waiter,Tom Gottlieb,18,7,recurring,Waiter
Episode complete credited cast:,Episode complete credited cast:,18,8,NA,Episode
Frasier Crane,Kelsey Grammer,18,8,main,Frasier
Daphne Moon,Jane Leeves,18,8,recurring,Daphne
Niles Crane,David Hyde Pierce,18,8,main,Niles
Roz Doyle,Peri Gilpin,18,8,main,Roz
Martin Crane,John Mahoney,18,8,main,Martin
Kenny Daly,Tom McGowan,18,8,recurring,Kenny
Frederica,Jennifer Coolidge,18,8,other,Frederica
Endicott,Charles Cioffi,18,8,other,Endicott
Lance,David Norona,18,8,other,Lance
Reynolds,Jonathan McMurtry,18,8,other,Reynolds
Virgil Hefflewhite,Richard Stretchberry,18,8,other,Virgil
Gil Chesterton,Edward Hibbert,18,8,recurring,Gil
Episode complete credited cast:,Episode complete credited cast:,18,9,NA,Episode
Frasier Crane,Kelsey Grammer,18,9,main,Frasier
Daphne Moon,Jane Leeves,18,9,main,Daphne
Niles Crane,David Hyde Pierce,18,9,main,Niles
Roz Doyle,Peri Gilpin,18,9,main,Roz
Martin Crane,John Mahoney,18,9,main,Martin
Frederick Crane,Trevor Einhorn,18,9,recurring,Frederick
Bernard Gadston,Philip Casnoff,18,9,other,Bernard
John Clayton,Jeff Perry,18,9,other,John
Warren Clayton,Josh Wise,18,9,other,Warren
Amanda,Morgan Davis,18,9,recurring,Amanda
Contestant,Michael Vira,18,9,other,Contestant
Security Guard,James Lew,18,9,other,Security
Lillian,Naomi Judd,18,9,other,Lillian
"Episode cast overview, first billed only:","Episode cast overview, first billed only:",18,10,NA,Episode
Frasier Crane,Kelsey Grammer,18,10,main,Frasier
Daphne Moon,Jane Leeves,18,10,main,Daphne
Niles Crane,David Hyde Pierce,18,10,main,Niles
Roz Doyle,Peri Gilpin,18,10,main,Roz
Martin Crane,John Mahoney,18,10,main,Martin
Petyr,John Vickery,18,10,other,Petyr
Bank President,Michael Winters,18,10,other,Bank
Robert,François Giroday,18,10,other,Robert
Bank Manager,Shannon Cochran,18,10,other,Bank
Vladimir,Oleg Shtefanko,18,10,other,Vladimir
Teller,Devlin Elliott,18,10,other,Teller
Customs Officer,Sal Rendino,18,10,other,Customs
Mr. Michaels,J. Kenneth Campbell,18,10,other,Mr.
Mrs. Michaels,Sarah Brooke,18,10,other,Mrs.
Bank Teller,Bridget Sienna,18,10,other,Bank
"Episode cast overview, first billed only:","Episode cast overview, first billed only:",18,11,NA,Episode
Frasier Crane,Kelsey Grammer,18,11,main,Frasier
Daphne Moon,Jane Leeves,18,11,main,Daphne
Niles Crane,David Hyde Pierce,18,11,main,Niles
Roz Doyle,Peri Gilpin,18,11,main,Roz
Martin Crane,John Mahoney,18,11,main,Martin
Charlotte,Laura Linney,18,11,recurring,Charlotte
Harvest,Ann Magnuson,18,11,other,Harvest
Brad,Elon Gold,18,11,other,Brad
Cindy,Stacey Travis,18,11,other,Cindy
Horny Date,Rachel Dratch,18,11,other,Horny
Ellie,Kirsten Nelson,18,11,other,Ellie
Creationism Date,Beth Littleford,18,11,other,Creationism
Wig Date,Suzanne Lee Singh,18,11,other,Wig
ss Date,Ellen Ratner,18,11,other,ss
Teen Date,Kate Steele,18,11,other,Teen
Episode complete credited cast:,Episode complete credited cast:,19,1,NA,Episode
Frasier Crane,Kelsey Grammer,19,1,main,Frasier
Daphne Moon,Jane Leeves,19,1,main,Daphne
Niles Crane,David Hyde Pierce,19,1,main,Niles
Roz Doyle,Peri Gilpin,19,1,main,Roz
Martin Crane,John Mahoney,19,1,main,Martin
Mrs. Warren,Valerie Curtin,19,1,other,Mrs.
Salesman,James Greene,19,1,other,Salesman
Leo,Phil Buckman,19,1,recurring,Leo
Joey,Marc Robinson,19,1,other,Joey
Brown,Scott Nguyen,19,1,other,Brown
Olsen,Brittany Murphy,19,1,other,Olsen
Eddie,Moose,19,1,recurring,Eddie
Bruga,Malcolm McDowell,19,1,other,Bruga
Episode complete credited cast:,Episode complete credited cast:,19,2,NA,Episode
Frasier Crane,Kelsey Grammer,19,2,main,Frasier
Daphne Moon,Jane Leeves,19,2,main,Daphne
Niles Crane,David Hyde Pierce,19,2,main,Niles
Roz Doyle,Peri Gilpin,19,2,main,Roz
Martin Crane,John Mahoney,19,2,main,Martin
Bulldog Briscoe,Dan Butler,19,2,recurring,Bulldog
Cindy Carruthers,Alyson Reed,19,2,other,Cindy
Kari,Renée Lippin,19,2,other,Kari
Mrs. Littlejohn,Rita McKenzie,19,2,other,Mrs.
Madman Martinez,John Lithgow,19,2,other,Madman
Episode complete credited cast:,Episode complete credited cast:,19,3,NA,Episode
Frasier Crane,Kelsey Grammer,19,3,main,Frasier
Daphne Moon,Jane Leeves,19,3,main,Daphne
Niles Crane,David Hyde Pierce,19,3,main,Niles
Roz Doyle,Peri Gilpin,19,3,main,Roz
Martin Crane,John Mahoney,19,3,main,Martin
Harlow Safford,Donald O'Connor,19,3,other,Harlow
Mr. Giroux,James Winkler,19,3,other,Mr.
Judge,Neil Vipond,19,3,other,Judge
Bailiff,Baron Kelly,19,3,other,Bailiff
Beth,Debbi Fields,19,3,other,Beth
Episode complete credited cast:,Episode complete credited cast:,19,4,NA,Episode
Frasier Crane,Kelsey Grammer,19,4,main,Frasier
Daphne Moon,Jane Leeves,19,4,main,Daphne
Niles Crane,David Hyde Pierce,19,4,main,Niles
Roz Doyle,Peri Gilpin,19,4,main,Roz
Martin Crane,John Mahoney,19,4,main,Martin
Sherry Dempsey,Marsha Mason,19,4,recurring,Sherry
Kimberly Egan,Rebeccah Bush,19,4,other,Kimberly
Adair Peck,Donna Bullock,19,4,other,Adair
Leslie Wellman,Maria del Mar,19,4,other,Leslie
Waitress,Pauley Perrette,19,4,other,Waitress
John Coughlin,Jeff Corbett,19,4,other,John
Doug,David Benoit,19,4,other,Doug
Episode complete credited cast:,Episode complete credited cast:,19,5,NA,Episode
Frasier Crane,Kelsey Grammer,19,5,main,Frasier
Daphne Moon,Jane Leeves,19,5,main,Daphne
Niles Crane,David Hyde Pierce,19,5,main,Niles
Roz Doyle,Peri Gilpin,19,5,main,Roz
Martin Crane,John Mahoney,19,5,main,Martin
Caitlin,Lisa Edelstein,19,5,other,Caitlin
Waiter,Paul Cosimano,19,5,recurring,Waiter
Episode complete credited cast:,Episode complete credited cast:,19,6,NA,Episode
Frasier Crane,Kelsey Grammer,19,6,main,Frasier
Daphne Moon,Jane Leeves,19,6,main,Daphne
Niles Crane,David Hyde Pierce,19,6,main,Niles
Roz Doyle,Peri Gilpin,19,6,main,Roz
Martin Crane,John Mahoney,19,6,main,Martin
Noel Shempsky,Patrick Kerr,19,6,recurring,Noel
Jody,Carolee Carmello,19,6,other,Jody
Waiter,David Aaron Baker,19,6,recurring,Waiter
Auction Official,Howard Shangraw,19,6,other,Auction
Woman At Auction,Phyllis Katz,19,6,other,Woman
Zafrin,Joseph Lindgren,19,6,other,Zafrin
Episode complete credited cast:,Episode complete credited cast:,19,7,NA,Episode
Frasier Crane,Kelsey Grammer,19,7,main,Frasier
Daphne Moon,Jane Leeves,19,7,main,Daphne
Niles Crane,David Hyde Pierce,19,7,main,Niles
Roz Doyle,Peri Gilpin,19,7,main,Roz
Martin Crane,John Mahoney,19,7,main,Martin
Bebe Glazer,Harriet Sansom Harris,19,7,recurring,Bebe
Matt,Carlos Jacott,19,7,other,Matt
Stage Manager,Ilo Orleans,19,7,recurring,Stage
Bethany,Karen Hensel,19,7,other,Bethany
Episode complete credited cast:,Episode complete credited cast:,19,8,NA,Episode
Frasier Crane,Kelsey Grammer,19,8,main,Frasier
Daphne Moon,Jane Leeves,19,8,main,Daphne
Niles Crane,David Hyde Pierce,19,8,main,Niles
Roz Doyle,Peri Gilpin,19,8,main,Roz
Martin Crane,John Mahoney,19,8,main,Martin
Patient,Bryan McMillen,19,8,other,Patient
Episode complete credited cast:,Episode complete credited cast:,19,9,NA,Episode
Frasier Crane,Kelsey Grammer,19,9,main,Frasier
Daphne Moon,Jane Leeves,19,9,main,Daphne
Niles Crane,David Hyde Pierce,19,9,main,Niles
Roz Doyle,Peri Gilpin,19,9,main,Roz
Martin Crane,John Mahoney,19,9,main,Martin
Lasskopf,Hal Landon Jr.,19,9,other,Lasskopf
Alice May Doyle,Ashley Thomas,19,9,recurring,Alice
James the Barista,James Aaron Oliver,19,9,recurring,James
Young Frasier,Cameron Bowen,19,9,recurring,Young
Young Niles,Chase Armstrong,19,9,recurring,Young
Officer,Alex Morris,19,9,other,Officer
Episode cast overview:,Episode cast overview:,19,10,NA,Episode
Frasier Crane,Kelsey Grammer,19,10,main,Frasier
Daphne Moon,Jane Leeves,19,10,main,Daphne
Niles Crane,David Hyde Pierce,19,10,main,Niles
Roz Doyle,Peri Gilpin,19,10,main,Roz
Martin Crane,John Mahoney,19,10,main,Martin
Gertrude Moon,Millicent Martin,19,10,recurring,Gertrude
Mr. Grant,Timothy Carhart,19,10,other,Mr.
Mrs. Grant,Dale Dickey,19,10,other,Mrs.
Principal,Holmes Osborne,19,10,other,Principal
James the Waiter,James Aaron Oliver,19,10,recurring,James
Kid,William Turner,19,10,other,Kid
Team Leader Ronnie,Jordan Lund,19,10,other,Team
Sandy,Misha Henson,19,10,other,Sandy
Kid,Haley Darwish,19,10,other,Kid
Customer,Elizabeth Liang,19,10,recurring,Customer
Episode cast overview:,Episode cast overview:,19,11,NA,Episode
Frasier Crane,Kelsey Grammer,19,11,main,Frasier
Daphne Moon,Jane Leeves,19,11,main,Daphne
Niles Crane,David Hyde Pierce,19,11,main,Niles
Roz Doyle,Peri Gilpin,19,11,main,Roz
Martin Crane,John Mahoney,19,11,main,Martin
Ronee Lawrence,Wendie Malick,19,11,recurring,Ronee
Kim,Jennifer Tilly,19,11,other,Kim
Betty,Marian Seldes,19,11,other,Betty
Guy in Bar,Tom Hughes,19,11,other,Guy
Frank,Aaron Eckhart,19,11,recurring,Frank
Charlotte,Laura Linney,19,11,recurring,Charlotte
Episode complete credited cast:,Episode complete credited cast:,20,1,NA,Episode
Frasier Crane,Kelsey Grammer,20,1,main,Frasier
Daphne Moon,Jane Leeves,20,1,main,Daphne
Niles Crane,David Hyde Pierce,20,1,main,Niles
Roz Doyle,Peri Gilpin,20,1,main,Roz
Martin Crane,John Mahoney,20,1,main,Martin
Bulldog Briscoe,Dan Butler,20,1,recurring,Bulldog
Carrie,Sara Melson,20,1,other,Carrie
Rachel,Reba McEntire,20,1,other,Rachel
Episode complete credited cast:,Episode complete credited cast:,20,2,NA,Episode
Frasier Crane,Kelsey Grammer,20,2,main,Frasier
Daphne Moon,Jane Leeves,20,2,main,Daphne
Niles Crane,David Hyde Pierce,20,2,main,Niles
Roz Doyle,Peri Gilpin,20,2,main,Roz
Martin Crane,John Mahoney,20,2,main,Martin
Ranger,Rick Cramer,20,2,other,Ranger
Episode complete credited cast:,Episode complete credited cast:,20,3,NA,Episode
Frasier Crane,Kelsey Grammer,20,3,main,Frasier
Daphne Moon,Jane Leeves,20,3,main,Daphne
Niles Crane,David Hyde Pierce,20,3,main,Niles
Roz Doyle,Peri Gilpin,20,3,main,Roz
Martin Crane,John Mahoney,20,3,main,Martin
Maureen Cutler,Jane Kaczmarek,20,3,other,Maureen
Charlotte,Jillie Mack,20,3,recurring,Charlotte
Maggie,Denise Poirier,20,3,other,Maggie
Waitress,Luck Hari,20,3,recurring,Waitress
Elizabeth,Bette Rae,20,3,recurring,Elizabeth
Episode complete credited cast:,Episode complete credited cast:,20,4,NA,Episode
Frasier Crane,Kelsey Grammer,20,4,main,Frasier
Daphne Moon,Jane Leeves,20,4,main,Daphne
Niles Crane,David Hyde Pierce,20,4,main,Niles
Roz Doyle,Peri Gilpin,20,4,main,Roz
Bulldog Briscoe,Dan Butler,20,4,recurring,Bulldog
Martin Crane,John Mahoney,20,4,main,Martin
Sherry Dempsey,Marsha Mason,20,4,recurring,Sherry
Coughing Man,Roger Keller,20,4,other,Coughing
Episode complete credited cast:,Episode complete credited cast:,20,5,NA,Episode
Frasier Crane,Kelsey Grammer,20,5,main,Frasier
Daphne Moon,Jane Leeves,20,5,main,Daphne
Niles Crane,David Hyde Pierce,20,5,main,Niles
Roz Doyle,Peri Gilpin,20,5,main,Roz
Martin Crane,John Mahoney,20,5,main,Martin
Phyllis Conrad,Caroline Aaron,20,5,other,Phyllis
Elizabeth,Bette Rae,20,5,recurring,Elizabeth
Episode complete credited cast:,Episode complete credited cast:,20,6,NA,Episode
Frasier Crane,Kelsey Grammer,20,6,main,Frasier
Daphne Moon,Jane Leeves,20,6,main,Daphne
Niles Crane,David Hyde Pierce,20,6,main,Niles
Roz Doyle,Peri Gilpin,20,6,main,Roz
Martin Crane,John Mahoney,20,6,main,Martin
Nora Fairchild,Christine Baranski,20,6,other,Nora
Mrs. Mulhern,Piper Laurie,20,6,other,Mrs.
Kenny Daly,Tom McGowan,20,6,recurring,Kenny
George,Douglas Owen McDonald,20,6,other,George
Jenny,Gillian Anderson,20,6,other,Jenny
Tom,Yo-Yo Ma,20,6,recurring,Tom
Denise,Bonnie Raitt,20,6,other,Denise
Jill,Pia Zadora,20,6,other,Jill
Episode complete credited cast:,Episode complete credited cast:,20,7,NA,Episode
Frasier Crane,Kelsey Grammer,20,7,main,Frasier
Daphne Moon,Jane Leeves,20,7,main,Daphne
Niles Crane,David Hyde Pierce,20,7,main,Niles
Roz Doyle,Peri Gilpin,20,7,main,Roz
Martin Crane,John Mahoney,20,7,main,Martin
Donny Douglas,Saul Rubinek,20,7,recurring,Donny
Mel Karnofsky,Jane Adams,20,7,recurring,Mel
Regan Shaw,Gigi Rice,20,7,other,Regan
Dinah aka Officer Nasty,Rachel York,20,7,other,Dinah
Doorman,Gregory North,20,7,other,Doorman
Episode complete credited cast:,Episode complete credited cast:,20,8,NA,Episode
Frasier Crane,Kelsey Grammer,20,8,main,Frasier
Daphne Moon,Jane Leeves,20,8,main,Daphne
Niles Crane,David Hyde Pierce,20,8,main,Niles
Roz Doyle,Peri Gilpin,20,8,main,Roz
Martin Crane,John Mahoney,20,8,main,Martin
William Tewksbury,Rene Auberjonois,20,8,other,William
Sheldon Morey,Fisher Stevens,20,8,other,Sheldon
Student,Benjamin Stephens,20,8,other,Student
Episode complete credited cast:,Episode complete credited cast:,20,9,NA,Episode
Frasier Crane,Kelsey Grammer,20,9,main,Frasier
Daphne Moon,Jane Leeves,20,9,main,Daphne
Niles Crane,David Hyde Pierce,20,9,main,Niles
Roz Doyle,Peri Gilpin,20,9,main,Roz
Martin Crane,John Mahoney,20,9,main,Martin
Cam Winston,Brian Stokes Mitchell,20,9,other,Cam
Cora Winston,Emily Yancy,20,9,other,Cora
Joe,Steve O'Connor,20,9,other,Joe
James the Waiter,James Aaron Oliver,20,9,recurring,James
Episode cast overview:,Episode cast overview:,20,10,NA,Episode
Frasier Crane,Kelsey Grammer,20,10,main,Frasier
Daphne Moon,Jane Leeves,20,10,main,Daphne
Niles Crane,David Hyde Pierce,20,10,main,Niles
Roz Doyle,Peri Gilpin,20,10,main,Roz
Martin Crane,John Mahoney,20,10,main,Martin
Julia Wilcox,Felicity Huffman,20,10,recurring,Julia
Avery McManus,John Hannah,20,10,other,Avery
Evelyn,Alex Borstein,20,10,other,Evelyn
Maureen Nervosa,Amy Hill,20,10,other,Maureen
Coffee Guy,Matt Besser,20,10,other,Coffee
James the Barista,James Aaron Oliver,20,10,recurring,James
Steve,Kevin Daniels,20,10,other,Steve
Ben,Elvis Costello,20,10,other,Ben
Episode cast overview:,Episode cast overview:,20,11,NA,Episode
Frasier Crane,Kelsey Grammer,20,11,main,Frasier
Daphne Moon,Jane Leeves,20,11,main,Daphne
Niles Crane,David Hyde Pierce,20,11,main,Niles
Roz Doyle,Peri Gilpin,20,11,main,Roz
Martin Crane,John Mahoney,20,11,main,Martin
Ronee Lawrence,Wendie Malick,20,11,recurring,Ronee
Georges,Michael Des Barres,20,11,other,Georges
Steve,Chris Diamantopoulos,20,11,other,Steve
Frank,Aaron Eckhart,20,11,recurring,Frank
Charlotte,Laura Linney,20,11,recurring,Charlotte
Episode complete credited cast:,Episode complete credited cast:,21,1,NA,Episode
Frasier Crane,Kelsey Grammer,21,1,main,Frasier
Daphne Moon,Jane Leeves,21,1,main,Daphne
Niles Crane,David Hyde Pierce,21,1,main,Niles
Roz Doyle,Peri Gilpin,21,1,main,Roz
Martin Crane,John Mahoney,21,1,main,Martin
Guard,Don Amendolia,21,1,other,Guard
Marvella,Pamela Gordon,21,1,other,Marvella
Episode complete credited cast:,Episode complete credited cast:,21,2,NA,Episode
Frasier Crane,Kelsey Grammer,21,2,main,Frasier
Daphne Moon,Jane Leeves,21,2,main,Daphne
Niles Crane,David Hyde Pierce,21,2,main,Niles
Roz Doyle,Peri Gilpin,21,2,main,Roz
Martin Crane,John Mahoney,21,2,main,Martin
Gunnar,Brian Cousins,21,2,other,Gunnar
Marta,Irene Olga López,21,2,recurring,Marta
Gretchen,Glenne Headly,21,2,other,Gretchen
Episode complete credited cast:,Episode complete credited cast:,21,3,NA,Episode
Frasier Crane,Kelsey Grammer,21,3,main,Frasier
Daphne Moon,Jane Leeves,21,3,main,Daphne
Niles Crane,David Hyde Pierce,21,3,main,Niles
Roz Doyle,Peri Gilpin,21,3,main,Roz
Martin Crane,John Mahoney,21,3,main,Martin
Bulldog Briscoe,Dan Butler,21,3,recurring,Bulldog
Bebe Glazer,Harriet Sansom Harris,21,3,recurring,Bebe
Big Willy,Richard Hamilton,21,3,other,Big
Gil Chesterton,Edward Hibbert,21,3,recurring,Gil
Episode complete credited cast:,Episode complete credited cast:,21,4,NA,Episode
Frasier Crane,Kelsey Grammer,21,4,main,Frasier
Daphne Moon,Jane Leeves,21,4,main,Daphne
Niles Crane,David Hyde Pierce,21,4,main,Niles
Roz Doyle,Peri Gilpin,21,4,main,Roz
Bulldog Briscoe,Dan Butler,21,4,recurring,Bulldog
Martin Crane,John Mahoney,21,4,main,Martin
Leo,Alan Wilder,21,4,recurring,Leo
Messenger,Michael McFall,21,4,other,Messenger
Waitress,Luck Hari,21,4,recurring,Waitress
Tom,Gerry Gibson,21,4,other,Tom
Episode complete credited cast:,Episode complete credited cast:,21,5,NA,Episode
Frasier Crane,Kelsey Grammer,21,5,main,Frasier
Daphne Moon,Jane Leeves,21,5,main,Daphne
Niles Crane,David Hyde Pierce,21,5,main,Niles
Roz Doyle,Peri Gilpin,21,5,main,Roz
Martin Crane,John Mahoney,21,5,main,Martin
Paula Garrett,Jordan Baker,21,5,other,Paula
Steve Garrett,Kevin Kilner,21,5,other,Steve
Waitress,Amy Landers,21,5,recurring,Waitress
Episode complete credited cast:,Episode complete credited cast:,21,6,NA,Episode
Frasier Crane,Kelsey Grammer,21,6,main,Frasier
Daphne Moon,Jane Leeves,21,6,main,Daphne
Niles Crane,David Hyde Pierce,21,6,main,Niles
Roz Doyle,Peri Gilpin,21,6,main,Roz
Martin Crane,John Mahoney,21,6,main,Martin
Faye Moskowitz,Amy Brenneman,21,6,recurring,Faye
Cassandra Stone,Virginia Madsen,21,6,other,Cassandra
Episode complete credited cast:,Episode complete credited cast:,21,7,NA,Episode
Frasier Crane,Kelsey Grammer,21,7,main,Frasier
Daphne Moon,Jane Leeves,21,7,main,Daphne
Niles Crane,David Hyde Pierce,21,7,main,Niles
Roz Doyle,Peri Gilpin,21,7,main,Roz
Martin Crane,John Mahoney,21,7,main,Martin
Stefano,Robert Loggia,21,7,other,Stefano
Kenny Daly,Tom McGowan,21,7,recurring,Kenny
Mama,Lilyan Chauvin,21,7,other,Mama
Maitre'd,Gene Lythgow,21,7,other,Maitre'd
Girl in Line,Nastassja Schmiedt,21,7,other,Girl
Girl with wing,Skye McCole Bartusiak,21,7,other,Girl
Episode complete credited cast:,Episode complete credited cast:,21,8,NA,Episode
Frasier Crane,Kelsey Grammer,21,8,main,Frasier
Daphne Moon,Jane Leeves,21,8,main,Daphne
Niles Crane,David Hyde Pierce,21,8,main,Niles
Roz Doyle,Peri Gilpin,21,8,main,Roz
Martin Crane,John Mahoney,21,8,main,Martin
Lana Gardner,Jean Smart,21,8,recurring,Lana
Claire French,Patricia Clarkson,21,8,recurring,Claire
Kirby,Brian Klugman,21,8,recurring,Kirby
Neil,J. Paul Boehmer,21,8,other,Neil
Cashier,Irene White,21,8,other,Cashier
Party Guest,Michael Rothhaar,21,8,recurring,Party
Party Guest,Lynndi Scott,21,8,recurring,Party
Episode complete credited cast:,Episode complete credited cast:,21,9,NA,Episode
Frasier Crane,Kelsey Grammer,21,9,main,Frasier
Daphne Moon,Jane Leeves,21,9,main,Daphne
Niles Crane,David Hyde Pierce,21,9,main,Niles
Roz Doyle,Peri Gilpin,21,9,main,Roz
Martin Crane,John Mahoney,21,9,main,Martin
Carla Tortelli LeBec,Rhea Perlman,21,9,other,Carla
Cliff Clavin,John Ratzenberger,21,9,other,Cliff
Norm Peterson,George Wendt,21,9,other,Norm
Phil,Philip Perlman,21,9,other,Phil
Paul Krapence,Paul Willson,21,9,other,Paul
Walt Twitchell,Raye Birk,21,9,other,Walt
Jeremy,Rufus Wainwright,21,9,other,Jeremy
Episode cast overview:,Episode cast overview:,21,10,NA,Episode
Frasier Crane,Kelsey Grammer,21,10,main,Frasier
Daphne Moon,Jane Leeves,21,10,main,Daphne
Niles Crane,David Hyde Pierce,21,10,main,Niles
Roz Doyle,Peri Gilpin,21,10,main,Roz
Martin Crane,John Mahoney,21,10,main,Martin
Phil,Phil McGraw,21,10,other,Phil
Bebe Glazer,Harriet Sansom Harris,21,10,recurring,Bebe
Gertrude Moon,Millicent Martin,21,10,recurring,Gertrude
Old Frasier,Jack Axelrod,21,10,other,Old
Old Daphne,Jean Sincere,21,10,other,Old
Old Niles,John O'Leary,21,10,other,Old
Mildred,Lillian Adams,21,10,other,Mildred
Supervisor,Steve Susskind,21,10,other,Supervisor
Episode cast overview:,Episode cast overview:,21,11,NA,Episode
Frasier Crane,Kelsey Grammer,21,11,main,Frasier
Daphne Moon,Jane Leeves,21,11,main,Daphne
Niles Crane,David Hyde Pierce,21,11,main,Niles
Roz Doyle,Peri Gilpin,21,11,main,Roz
Martin Crane,John Mahoney,21,11,main,Martin
Charlotte,Laura Linney,21,11,recurring,Charlotte
Sue,Celia Weston,21,11,other,Sue
Harbin,Stephen Root,21,11,other,Harbin
Jonathan,Todd Louiso,21,11,other,Jonathan
Amber Licious,Cady Huffman,21,11,other,Amber
Becky,Blake Lindsley,21,11,other,Becky
Episode complete credited cast:,Episode complete credited cast:,22,1,NA,Episode
Frasier Crane,Kelsey Grammer,22,1,main,Frasier
Daphne Moon,Jane Leeves,22,1,main,Daphne
Niles Crane,David Hyde Pierce,22,1,main,Niles
Roz Doyle,Peri Gilpin,22,1,main,Roz
Martin Crane,John Mahoney,22,1,main,Martin
Sam Tanaka,Mako,22,1,other,Sam
Waitress,Luck Hari,22,1,recurring,Waitress
Eddie,Moose,22,1,recurring,Eddie
Laura,Christine Lahti,22,1,other,Laura
Episode complete credited cast:,Episode complete credited cast:,22,2,NA,Episode
Frasier Crane,Kelsey Grammer,22,2,main,Frasier
Daphne Moon,Jane Leeves,22,2,main,Daphne
Niles Crane,David Hyde Pierce,22,2,main,Niles
Roz Doyle,Peri Gilpin,22,2,main,Roz
Martin Crane,John Mahoney,22,2,main,Martin
Bulldog Briscoe,Dan Butler,22,2,recurring,Bulldog
Bebe Glazer,Harriet Sansom Harris,22,2,recurring,Bebe
Tom Duran,Eric Lutes,22,2,other,Tom
Mike,Tony Crane,22,2,other,Mike
Episode complete credited cast:,Episode complete credited cast:,22,3,NA,Episode
Frasier Crane,Kelsey Grammer,22,3,main,Frasier
Daphne Moon,Jane Leeves,22,3,main,Daphne
Niles Crane,David Hyde Pierce,22,3,main,Niles
Roz Doyle,Peri Gilpin,22,3,main,Roz
Martin Crane,John Mahoney,22,3,main,Martin
Bulldog Briscoe,Dan Butler,22,3,recurring,Bulldog
Ben,Michael Mitz,22,3,other,Ben
Tom,David Duchovny,22,3,recurring,Tom
Episode complete credited cast:,Episode complete credited cast:,22,4,NA,Episode
Frasier Crane,Kelsey Grammer,22,4,main,Frasier
Daphne Moon,Jane Leeves,22,4,main,Daphne
Niles Crane,David Hyde Pierce,22,4,main,Niles
Roz Doyle,Peri Gilpin,22,4,main,Roz
Martin Crane,John Mahoney,22,4,main,Martin
Elise,Cindy Katz,22,4,other,Elise
Marta,Irene Olga López,22,4,recurring,Marta
Waitress,Luck Hari,22,4,recurring,Waitress
Episode complete credited cast:,Episode complete credited cast:,22,5,NA,Episode
Frasier Crane,Kelsey Grammer,22,5,main,Frasier
Daphne Moon,Jane Leeves,22,5,main,Daphne
Niles Crane,David Hyde Pierce,22,5,main,Niles
Roz Doyle,Peri Gilpin,22,5,main,Roz
Martin Crane,John Mahoney,22,5,main,Martin
Vicky,Claire Yarlett,22,5,other,Vicky
Kathy,Lynnda Ferguson,22,5,other,Kathy
Nurse,Susan Wood,22,5,recurring,Nurse
Tina,Leslie S. Sachs,22,5,other,Tina
Short Man,Nick De Gruccio,22,5,other,Short
Waiter,Adamo Palladino,22,5,recurring,Waiter
Episode complete credited cast:,Episode complete credited cast:,22,6,NA,Episode
Frasier Crane,Kelsey Grammer,22,6,main,Frasier
Daphne Moon,Jane Leeves,22,6,main,Daphne
Niles Crane,David Hyde Pierce,22,6,main,Niles
Roz Doyle,Peri Gilpin,22,6,main,Roz
Martin Crane,John Mahoney,22,6,main,Martin
Donny Douglas,Saul Rubinek,22,6,recurring,Donny
Mrs. Woodson,Sharon Madden,22,6,other,Mrs.
Episode complete credited cast:,Episode complete credited cast:,22,7,NA,Episode
Frasier Crane,Kelsey Grammer,22,7,main,Frasier
Daphne Moon,Jane Leeves,22,7,main,Daphne
Niles Crane,David Hyde Pierce,22,7,main,Niles
Roz Doyle,Peri Gilpin,22,7,main,Roz
Martin Crane,John Mahoney,22,7,main,Martin
Donny Douglas,Saul Rubinek,22,7,recurring,Donny
McCaskill,S. Epatha Merkerson,22,7,other,McCaskill
Mel Karnofsky,Jane Adams,22,7,recurring,Mel
Holly,Kelly Miracco,22,7,other,Holly
Paris,Dendrie Taylor,22,7,other,Paris
Neighbor,Janice Kent,22,7,other,Neighbor
"Mrs. Douglas, Donny's Mom",Barbara Sharma,22,7,other,Mrs.
"Mr. Douglas, Donny's Dad",John David Conti,22,7,other,Mr.
Judd,Jonathan Bruce,22,7,other,Judd
Simon Moon,Anthony LaPaglia,22,7,recurring,Simon
Episode complete credited cast:,Episode complete credited cast:,22,8,NA,Episode
Frasier Crane,Kelsey Grammer,22,8,main,Frasier
Daphne Moon,Jane Leeves,22,8,main,Daphne
Niles Crane,David Hyde Pierce,22,8,main,Niles
Roz Doyle,Peri Gilpin,22,8,main,Roz
Martin Crane,John Mahoney,22,8,main,Martin
Lana Gardner,Jean Smart,22,8,recurring,Lana
Claire French,Patricia Clarkson,22,8,recurring,Claire
Kirby,Brian Klugman,22,8,recurring,Kirby
Kirby's Friend,Jonathan Ficcadenti,22,8,other,Kirby's
Maitre'D,Christian Aubert,22,8,other,Maitre'D
Guy In Line,Keith Rayve,22,8,other,Guy
Episode complete credited cast:,Episode complete credited cast:,22,9,NA,Episode
Frasier Crane,Kelsey Grammer,22,9,main,Frasier
